id,substance,other_names,used_for
81-24-3,TAUROCHOLIC ACID,"TAUROCHOLIC ACID; N-CHOLOYLTAURINE; CHOLAIC ACID; ETHANESULFONIC ACID, 2-(((3ALPHA,5BETA,7ALPHA,12ALPHA)-3,7,12-TRIHYDROXY-24-OXOCHOLAN-24-YL)AMINO); 2-(((3ALPHA,5BETA,7ALPHA,12ALPHA)-3,7,12-TRIHYDROXY-24-OXOCHOLAN-24-YL)AMINO)ETHANESULFONIC ACID; TAURINE, N-CHOLOYL",
67-03-8,THIAMINE HYDROCHLORIDE,"THIAMINE HYDROCHLORIDE; ANEURINE HYDROCHLORIDE; THIAMINE CHLORIDE; THIAMINE CHLORIDE HYDROCHLORIDE; THIAMINE DICHLORIDE; THIAMINE, MONOHYDROCHLORIDE; THIAZOLIUM, 3-((4-AMINO-2-METHYL-5-PYRIMIDINYL)METHYL)-5-(2-HYDROXYETHYL)-4-METHYL- CHLORIDE, MONOHYDROCHLORIDE; VITAMIN B1 HYDROCHLORIDE; 3-((4-AMINO-2-METHYL-5-PYRIMIDINYL)METHYL)-5-(2-HYDROXYETHYL)-4-METHYLTHIAZOLIUM CHLORIDE MONOHYDROCHLORIDE",FLAVORING AGENT OR ADJUVANT; NUTRIENT SUPPLEMENT
532-43-4,THIAMINE MONONITRATE,"THIAMINE MONONITRATE; VITAMIN B1 MONONITRATE; ANEURINE MONONITRATE; THIAZOLIUM, 3-((4-AMINO-2-METHYL-5-PYRIMIDINYL)METHYL)-5-(2-HYDROXYETHYL)-4-METHYL-, NITRATE (SALT); 3-((4-AMINO-2-METHYL-5-PYRIMIDINYL)METHYL)-5-(2-HYDROXYETHYL)-4-METHYLTHIAZOLIUM NITRATE; THIAMINE NITRATE (SALT)",NUTRIENT SUPPLEMENT
58-95-7,ALPHA-TOCOPHEROL ACETATE,"ALPHA-TOCOPHERYL ACETATE, D; ALPHA-TOCOPHERYL ACETATE; ALPHA-TOCOPHEROL ACETATE; TOCOPHERYL ACETATE, ALPHA; TOCOPHEROL ACETATE, ALPHA; TOCOPHERYL ACETATE, D-ALPHA; TOCOPHEROL ACETATE; VITAMIN E ACETATE; 2H-1-BENZOPYRAN-6-OL, 3,4-DIHYDRO-2,5,7,8-TETRAMETHYL-2-(4,8,12-TRIMETHYLTRIDECYL)-, ACETATE, (2R-(2*(4R*,8R*))); 3,4-DIHYDRO-2,5,7,8-TETRAMETHYL-2-(4,8,12-TRIMETHYLTRIDECYL)-2H-1-BENZOPYRAN-6-YL ACETATE, (2R-(2*(4R*,8R*))); 2,5,7,8-TETRAMETHYL-2-(4,8,12-TRIMETHYLTRIDECYL)-6-CROMANYL ACETATE, (+); 6-CROMANOL, 2,5,7,8-TETRAMETHYL-2-(4,8,12-TRIMETHYLTRIDECYL)-, ACETATE, (+); tocopherol acetate, (+)-alpha; tocopheryl acetate, (+)-alpha",NUTRIENT SUPPLEMENT
1406-66-2,TOCOPHEROLS,TOCOPHEROLS; METHYLTOCOLS,ANTIOXIDANT; FLAVOR ENHANCER; FLAVORING AGENT OR ADJUVANT; NUTRIENT SUPPLEMENT
57-13-6,UREA,UREA; CARBAMIDE; CARBAMIMIDIC ACID,FORMULATION AID
68-26-8,VITAMIN A,"VITAMIN A; OLEOVITAMIN A; RETINOL, ALL-TRANS; VITAMIN A ALCOHOL; RETINOL, BETA; 3,7-DIMETHYL-9-(2,6,6-TRIMETHYL-1-CYCLOHEXEN-1-YL)-2,4,6,8-NONATETRAEN-1-OL, (ALL-E); VITAMIN A1",NUTRIENT SUPPLEMENT
127-47-9,VITAMIN A ACETATE,"VITAMIN A ACETATE; RETINYL ACETATE, BETA; VITAMIN A ACETATE, TRANS; RETINOL, ACETATE; RETINOL, ACETATE, ALL-TRANS; RETINYL ACETATE, ALL-TRANS; BETA-RETINYL ACETATE",NUTRIENT SUPPLEMENT
68-19-9,VITAMIN B-12,"CYANOCOBALAMIN; VITAMIN B12; 5,6-DIMETHYLBENZIMIDAZOLYL CYANOCOBAMIDE",NUTRIENT SUPPLEMENT
977052-26-8,WHEAT STARCH,"STARCH, WHEAT",FLAVOR ENHANCER; FLAVORING AGENT OR ADJUVANT; FORMULATION AID; SOLVENT OR VEHICLE; STABILIZER OR THICKENER; TEXTURIZER
